id,timestamp,target_type,target_name,message,sender_name,sentiment,emoji_tag,keywords,suggestion,views,note_color,meaning,emotion,secondary_emotion,intensity,analyzed_at
1,2026-09-01 10:15,Teacher,Ma'am Santos,Thank you for always staying after class to explain lessons again. I understood Calculus because of you.,Anonymous,,,,,,,,,,,
2,2026-09-02 14:30,Location,Canteen,Please add more vegetarian options and fix the long lines during lunch break.,Anonymous,,,,,,,,,,,
3,2026-09-03 09:00,Teacher,Sir Reyes,You made Physics fun even though I used to hate the subject. I'll miss your jokes during exams.,Maria,,,,,,,,,,,
4,2026-09-04 16:45,Location,Library,"The wifi in the library is so slow, it was hard to do research there. Please upgrade it for future students.",Anonymous,,,,,,,,,,,
5,2026-09-05 11:20,General,School Administration,Four years here changed me. I just wish there were more mental health resources available for students who are struggling.,Anonymous,,,,,,,,,,,
6,2026-09-24 17:47,Teacher,ma'am cath,"hello, ma'am cath!",bandoy,Grateful,🙏 Appreciative,"teaching, experience",The student appreciates the teacher's efforts.,,,,,,,
7,2026-09-25 13:48,Recipient,shaira,"hello, shaira!",chirro,Neutral,👋 Casual,"goodbye, farewell",,0.0,Red,,,,,
8,2026-09-25 13:54,Recipient,Ben,"Hi Kuya Ben, let go na kay may iya na crush HAHAHAHA",Anonymous,Mixed,😂 Humorous,"graduation, crush",The message implies a suggestion that the school should have provided a more suitable environment for students to develop relationships.,0.0,Pink,,,,,
9,2026-09-25 13:56,Recipient,Ashley,Hi!,Anonymous,Nostalgic,🌃 Nostalgic,"graduation, memories",,0.0,Pink,,,,,
10,2026-09-25 14:04,Recipient,GLY VC,cute mo po,ZG92aHRwPyBheWZhdm1wdWt0bAo=,Nostalgic,😊 Sentimental,"graduation, farewell",,0.0,White,,,,,
11,2026-09-25 14:22,Recipient,me,"i miss u,,,, do u miss me??? hahahahahahahahahahahhaahhahahahahahahahahahahaha i miss u a lot,,,, do i ever cross your mind because u still cross mine,,,,,,,,,, i miss uu, this is new,,,, i need u, shiballlll",iring,Nostalgic,😢 Melancholic,"friendship, memory","The student misses the recipient and needs them, implying a need for stronger connections between students and faculty.",0.0,Gray,,,,,
12,2026-09-25 14:23,Recipient,you,"i love u,,, do u still loved me?????? i miss u",me,Nostalgic,💔 Nostalgic,"love, miss",The school could improve its support for students during transitions.,0.0,Purple,,,,,
13,2026-09-25 14:27,Recipient,you,"sana makayakap ta kaw,,,,,,,,,, i can't take this anymore, i need u.",you,Nostalgic,😢 Nostalgic,"friendship, goodbye",The school should provide better support for students during their last days.,0.0,Red,,,,,
14,2026-09-25 14:31,Recipient,Rayza Cedron,"Hi! You look so astig and adorable at the same time, especially whenever you smile. I really admire you from afar, 
I really do.",Anonymous,Grateful,🌟 Adoring,"admiration, appreciation",The student appreciates the recipient's presence in their life.,0.0,Green,,,,,
15,2026-09-25 14:34,Recipient,C,Baki sayo pa ako na inlove pwedi naman sa iba 😭,X anonymous,Nostalgic,😭 Nostalgic,"love, goodbye",the school should allow students to express their emotions more freely,0.0,White,,,,,
16,2026-09-25 14:35,Recipient,J,"i miss u,,, i hope our paths cross again and it would be the best version of us,, be happy.. i am always here if u want to comeback to me,,, i love u.",Anonymous,Hopeful,❤️ Love,"friendship, memories",The student suggests that the recipient should come back to them.,0.0,Blue,,,,,
